task_id,difficulty,category,network_mode,skill_count,skill_names,oracle_has_curl,oracle_has_wget,oracle_has_http,oracle_has_requests,oracle_has_git_clone,oracle_remote_hosts,verifier_has_curl,verifier_has_wget,verifier_has_http,verifier_has_pip_install,verifier_has_uv,verifier_has_apt,verifier_remote_hosts,bootstrap_packages,bootstrap_versions_pinned,semantic_external_dependency,bootstrap_dependency,self_contained,candidate_score,rejection_reason
mario-coin-counting,medium,media-content-production,public,3,ffmpeg-keyframe-extraction;image-editing;object-counter,false,false,false,false,false,,true,false,true,true,true,true,astral.sh,pandas;opencv-python,false,false,true,false,71,bootstrap dependency (one or more packages unpinned)
parallel-tfidf-search,medium,software-engineering,public,3,memory-optimization;python-parallelization;workload-balancing,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,false,false,true,false,71,bootstrap dependency (one or more packages unpinned)
suricata-custom-exfil,medium,cybersecurity,public,3,pcap-triage-tshark;suricata-offline-evejson;suricata-rules-basics,false,false,false,false,false,,false,false,false,false,true,false,,,false,false,true,false,71,bootstrap dependency (one or more packages unpinned)
llm-prefix-cache-replay,medium,software-engineering,public,2,cache-policy-comparison;prefix-cache-replay,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.5,true,false,true,false,70,bootstrap dependency (packages pinned)
manufacturing-codebook-normalization,medium,industrial-physical-systems,public,2,manufacturing-failure-reason-codebook-normalization;reference.md,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,70,bootstrap dependency (packages pinned)
manufacturing-fjsp-optimization,medium,industrial-physical-systems,public,2,fjsp-baseline-repair-with-downtime-and-policy;reference.md,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,70,bootstrap dependency (packages pinned)
paper-anonymizer,medium,office-white-collar,public,2,academic-pdf-redaction;pdf,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,70,bootstrap dependency (packages pinned)
pdf-excel-diff,medium,office-white-collar,public,2,pdf;xlsx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,70,bootstrap dependency (packages pinned)
sales-pivot-analysis,medium,office-white-collar,public,2,pdf;xlsx,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.6;openpyxl==3.1.5,true,false,true,false,70,bootstrap dependency (packages pinned)
xlsx-recover-data,medium,finance-economics,public,2,data-reconciliation;xlsx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,70,bootstrap dependency (packages pinned)
energy-market-pricing,hard,industrial-physical-systems,public,4,dc-power-flow;economic-dispatch;locational-marginal-prices;power-flow-data,false,false,false,false,false,,false,false,false,true,false,false,,scipy==1.11.4;cvxpy==1.4.2,true,false,true,false,67,bootstrap dependency (packages pinned)
exam-block-sequencing,hard,mathematics-or-formal-reasoning,public,2,mip-solver-and-solution-audit;ordered-window-sequencing-mip,false,false,false,false,false,,false,false,false,false,false,false,,,true,false,false,true,67,
earthquake-plate-calculation,medium,natural-science,public,1,geospatial-analysis,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,64,bootstrap dependency (packages pinned)
econ-detrending-correlation,medium,finance-economics,public,1,timeseries-detrending,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,64,bootstrap dependency (packages pinned)
jax-computing-basics,medium,software-engineering,public,1,jax-skills,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,64,bootstrap dependency (packages pinned)
pddl-airport-planning,medium,mathematics-or-formal-reasoning,public,1,pddl-skills,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,64,bootstrap dependency (packages pinned)
pddl-tpp-planning,medium,mathematics-or-formal-reasoning,public,1,pddl-skills,false,false,false,false,false,,false,false,false,false,true,false,,,true,false,true,false,64,bootstrap dependency (packages pinned)
shock-analysis-demand,medium,finance-economics,public,1,xlsx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,64,bootstrap dependency (packages pinned)
weighted-gdp-calc,medium,finance-economics,public,1,xlsx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,64,bootstrap dependency (packages pinned)
fix-erlang-ssh-cve,hard,cybersecurity,public,6,erlang-concurrency;erlang-distribution;erlang-otp-behaviors;find-bugs;senior-security;ssh-penetration-testing,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,false,false,true,false,63,bootstrap dependency (one or more packages unpinned)
energy-unit-commitment,hard,industrial-physical-systems,public,3,milp-solver-workflow;unit-commitment-data-modeling;unit-commitment-operating-rules,false,false,false,false,false,,false,false,false,true,false,false,,,true,false,true,false,61,bootstrap dependency (packages pinned)
glm-lake-mendota,hard,natural-science,public,3,glm-basics;glm-calibration;glm-output,false,false,false,false,false,,false,false,false,true,false,false,,,true,false,true,false,61,bootstrap dependency (packages pinned)
invoice-fraud-detection,hard,finance-economics,public,3,fuzzy-match;pdf;xlsx,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.5,true,false,true,false,61,bootstrap dependency (packages pinned)
crystallographic-wyckoff-position-analysis,medium,natural-science,public,2,pymatgen;sympy,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-report==1.5.0;true,false,false,true,false,60,bootstrap dependency (one or more packages unpinned)
edit-pdf,medium,office-white-collar,public,2,pdf-editing;text-parser,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.6;pytesseract==0.3.13;>/dev/null;2>&1,false,false,true,false,60,bootstrap dependency (one or more packages unpinned)
threejs-structure-parser,medium,media-content-production,public,2,obj-exporter;threejs,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,false,false,true,false,60,bootstrap dependency (one or more packages unpinned)
threejs-to-obj,medium,media-content-production,public,2,obj-exporter;threejs,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,false,false,true,false,60,bootstrap dependency (one or more packages unpinned)
azure-bgp-oscillation-route-leak,medium,software-engineering,public,1,azure-bgp,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,false,false,true,false,54,bootstrap dependency (one or more packages unpinned)
lab-unit-harmonization,medium,natural-science,public,1,lab-unit-harmonization,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf;||;pip;install;pytest,false,false,true,false,54,bootstrap dependency (one or more packages unpinned)
protein-expression-analysis,medium,natural-science,public,1,xlsx,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf,false,false,true,false,54,bootstrap dependency (one or more packages unpinned)
quantum-numerical-simulation,medium,natural-science,public,1,qutip,false,false,false,false,false,,true,false,false,true,false,true,,pytest-json-ctrf==0.3.5;pip;scipy==1.13.1,false,false,true,false,54,bootstrap dependency (one or more packages unpinned)
tictoc-unnecessary-abort-detection,hard,software-engineering,public,3,transaction-concurrency-control-foundations;transaction-protocol-reasoning;transaction-trace-analysis,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.5;2>/dev/null;||;pytest==8.4.1;true,false,false,true,false,51,bootstrap dependency (one or more packages unpinned)
dapt-intrusion-detection,hard,cybersecurity,public,2,pcap-analysis;threat-detection,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,50,bootstrap dependency (packages pinned)
financial-modeling-qa,hard,finance-economics,public,2,pdf;xlsx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,openpyxl==3.1.5,true,false,true,false,50,bootstrap dependency (packages pinned)
sec-financial-report,hard,finance-economics,public,2,13f-analyzer;fuzzy-name-search,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,rapidfuzz==3.14.3,true,false,true,false,50,bootstrap dependency (packages pinned)
3d-scan-calc,hard,industrial-physical-systems,public,1,mesh-analysis,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.5,true,false,true,false,44,bootstrap dependency (packages pinned)
court-form-filling,easy,office-white-collar,public,1,pdf,false,false,false,false,false,,false,false,false,true,false,false,,,true,false,true,false,44,bootstrap dependency (packages pinned)
dialogue-parser,easy,software-engineering,public,1,dialogue-graph,false,false,false,false,false,,false,false,false,true,false,false,,pytest-json-ctrf==0.3.6,true,false,true,false,44,bootstrap dependency (packages pinned)
offer-letter-generator,easy,office-white-collar,public,1,docx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,44,bootstrap dependency (packages pinned)
shock-analysis-supply,hard,finance-economics,public,1,xlsx,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,true,false,true,false,44,bootstrap dependency (packages pinned)
flink-query,hard,software-engineering,public,2,pdf;senior-data-engineer,false,false,false,false,false,,true,false,true,false,true,true,astral.sh,,false,false,true,false,40,bootstrap dependency (one or more packages unpinned)
travel-planning,medium,mathematics-or-formal-reasoning,public,6,search-accommodations;search-attractions;search-cities;search-driving-distance;search-flights;search-restaurants,false,false,true,false,false,cosi.org;fpconservatory.org;www.columbusmuseum.org;www.columbuszoo.org;www.clevelandmetroparks.com;www.clevelandart.org;holdenfg.org;greaterclevelandaquarium.com;cincinnatizoo.org;www.cincinnatiartmuseum.org,true,false,true,true,true,true,astral.sh,numpy==1.26.4;requests==2.31.0,true,true,true,false,-25,semantic remote access in oracle or verifier truth path
flood-risk-analysis,medium,natural-science,public,3,flood-detection;nws-flood-thresholds;usgs-data-download,false,false,true,false,false,water.noaa.gov,false,false,false,true,false,false,,pytest-json-ctrf==0.3.6;dataretrieval==1.0.10,true,true,true,false,-37,semantic remote access in oracle or verifier truth path
setup-fuzzing-py,medium,cybersecurity,public,3,discover-important-function;fuzzing-python;setup-env,false,false,true,false,false,github.com,true,false,true,false,true,true,astral.sh,atheris==3.0.0;.,false,true,true,false,-37,semantic remote access in oracle or verifier truth path
software-dependency-audit,medium,cybersecurity,public,3,cvss-score-extraction;trivy-offline-vulnerability-scanning;vulnerability-csv-reporting,false,false,false,false,false,,true,false,true,false,true,true,astral.sh;avd.aquasec.com,,false,true,true,false,-37,semantic remote access in oracle or verifier truth path
syzkaller-ppdev-syzlang,medium,cybersecurity,public,3,syz-extract-constants;syzkaller-build-loop;syzlang-ioctl-basics,false,false,true,false,false,github.com,false,false,false,false,false,false,,pytest-json-ctrf==0.3.6,true,true,false,false,-37,semantic remote access in oracle or verifier truth path
spring-boot-jakarta-migration,hard,software-engineering,public,5,hibernate-upgrade;jakarta-namespace;restclient-migration;spring-boot-migration;spring-security-6,false,false,true,false,false,maven.apache.org;www.w3.org;api.example.com},true,false,true,false,true,true,astral.sh,,false,true,true,false,-45,semantic remote access in oracle or verifier truth path
exceltable-in-ppt,medium,office-white-collar,public,2,pptx;xlsx,false,false,true,false,false,schemas.openxmlformats.org;openoffice.org,true,false,true,false,true,true,astral.sh,,true,true,true,false,-48,semantic remote access in oracle or verifier truth path
latex-formula-extraction,medium,office-white-collar,public,2,marker;pdf,false,false,false,false,false,,false,false,true,true,true,false,cdn.jsdelivr.net,uv,false,true,true,false,-48,semantic remote access in oracle or verifier truth path
civ6-adjacency-optimizer,hard,mathematics-or-formal-reasoning,public,4,civ6lib;hex-grid-spatial;map-optimization-strategy;sqlite-map-parser,false,false,false,false,false,,false,false,true,true,false,false,civilization.fandom.com,pytest-json-ctrf==0.3.5;2>/dev/null;||;pytest==8.3.4;true,false,true,true,false,-51,semantic remote access in oracle or verifier truth path
fix-build-agentops,easy,software-engineering,public,4,analyze-ci;temporal-python-testing;testing-python;uv-package-manager,false,false,false,false,false,,false,false,true,true,true,false,pypi.org;api.github.com;github.com,tox';>;/home/github/24653510459/steps/bugswarm_2.sh,false,true,true,false,-51,semantic remote access in oracle or verifier truth path
citation-check,medium,office-white-collar,public,1,citation-management,false,false,true,false,false,doi.org,true,false,true,false,true,true,astral.sh,,true,true,true,false,-54,semantic remote access in oracle or verifier truth path
data-to-d3,medium,software-engineering,public,1,d3-visualization,false,false,false,false,false,,false,false,true,true,false,false,localhost:{port},pytest-json-ctrf,false,true,true,false,-54,semantic remote access in oracle or verifier truth path
pptx-reference-formatting,medium,office-white-collar,public,1,pptx,false,false,true,false,false,schemas.openxmlformats.org,true,false,true,false,true,true,astral.sh;schemas.openxmlformats.org,,true,true,true,false,-54,semantic remote access in oracle or verifier truth path
reserves-at-risk-calc,medium,finance-economics,public,1,xlsx,false,false,true,true,false,www.imf.org,true,false,true,false,true,true,astral.sh,,true,true,true,false,-54,semantic remote access in oracle or verifier truth path
fix-build-google-auto,easy,software-engineering,public,3,maven-build-lifecycle;maven-dependency-management;maven-plugin-configuration,false,false,false,false,false,,false,true,true,false,true,true,docs.travis-ci.com;developer.apple.com;pypi.org,,false,true,true,false,-57,semantic remote access in oracle or verifier truth path
fix-visual-stability,hard,software-engineering,public,3,browser-testing;react-best-practices;web-interface-guidelines,true,false,true,false,false,127.0.0.1:4000};localhost:3000,true,false,true,true,false,false,127.0.0.1:4000};localhost:3000,pytest-json-ctrf==0.5.2;playwright==1.49.1;Pillow==11.0.0;playwright`;+;`playwright;install;chromium`;download,false,true,true,false,-57,semantic remote access in oracle or verifier truth path
powerlifting-coef-calc,easy,office-white-collar,public,3,powerlifting;senior-data-scientist;xlsx,false,false,true,false,false,gitlab.com,false,false,false,false,true,false,,,true,true,true,false,-57,semantic remote access in oracle or verifier truth path
fix-druid-loophole-cve,hard,cybersecurity,public,2,jackson-security;senior-java,false,false,false,false,false,,true,false,true,false,true,true,localhost:8888;astral.sh;{druid_host}:{druid_port},,false,true,true,false,-68,semantic remote access in oracle or verifier truth path
paratransit-routing,hard,mathematics-or-formal-reasoning,public,2,ortools-pickup-delivery-routing;ortools-routing-modeling,false,false,false,true,false,,false,false,false,false,false,false,,,true,true,false,false,-68,semantic remote access in oracle or verifier truth path
react-performance-debugging,hard,software-engineering,public,2,browser-testing;react-best-practices,true,false,true,false,false,localhost:3000,true,false,true,true,false,false,localhost:3000;localhost:3001,pytest-asyncio==0.24.0,true,true,true,false,-68,semantic remote access in oracle or verifier truth path
simpo-code-reproduction,hard,software-engineering,public,2,nlp-research-repo-package-installment;pdf,true,false,true,false,false,astral.sh,true,false,true,true,true,true,astral.sh;download.pytorch.org;pypi.org,,true,true,true,false,-68,semantic remote access in oracle or verifier truth path
enterprise-information-search,hard,office-white-collar,public,1,enterprise-artifact-search,false,false,false,false,false,,true,false,true,false,true,true,astral.sh;personaai.com;smartsuggest.com;tailorai.com,,false,true,true,false,-74,semantic remote access in oracle or verifier truth path
